datum;vrijeme;vodostaj;protok
20.03.26.;21:00;27;0,73
20.03.26.;20:00;28;0,79
20.03.26.;19:00;28;0,79
20.03.26.;18:00;28;0,79
20.03.26.;17:00;28;0,79
20.03.26.;16:00;28;0,79
20.03.26.;15:00;28;0,79
20.03.26.;14:00;28;0,79
20.03.26.;13:00;28;0,79
20.03.26.;12:00;28;0,79
20.03.26.;11:00;28;0,79
20.03.26.;10:00;27;0,73
20.03.26.;09:00;28;0,79
20.03.26.;08:00;27;0,73
20.03.26.;07:00;27;0,73
20.03.26.;06:00;27;0,73
20.03.26.;05:00;28;0,79
20.03.26.;04:00;29;0,85
20.03.26.;03:00;30;0,91
20.03.26.;02:00;28;0,79
20.03.26.;01:00;29;0,85
20.03.26.;00:00;29;0,85
19.03.26.;23:00;29;0,85
19.03.26.;22:00;29;0,85
19.03.26.;21:00;29;0,85
19.03.26.;20:00;29;0,85
19.03.26.;19:00;29;0,85
19.03.26.;18:00;30;0,91
19.03.26.;17:00;30;0,91
19.03.26.;16:00;29;0,85
19.03.26.;15:00;30;0,91
19.03.26.;14:00;29;0,85
19.03.26.;13:00;29;0,85
19.03.26.;12:00;29;0,85
19.03.26.;11:00;28;0,79
19.03.26.;10:00;28;0,79
19.03.26.;09:00;28;0,79
19.03.26.;08:00;28;0,79
19.03.26.;07:00;28;0,79
19.03.26.;06:00;28;0,79
19.03.26.;05:00;28;0,79
19.03.26.;04:00;29;0,85
19.03.26.;03:00;29;0,85
19.03.26.;02:00;29;0,85
19.03.26.;01:00;29;0,85
19.03.26.;00:00;29;0,85
18.03.26.;23:00;30;0,91
18.03.26.;22:00;30;0,91
18.03.26.;21:00;31;0,97
18.03.26.;20:00;31;0,97
18.03.26.;19:00;32;1,03
18.03.26.;18:00;32;1,03
18.03.26.;17:00;33;1,09
18.03.26.;16:00;33;1,09
18.03.26.;15:00;34;1,15
18.03.26.;14:00;34;1,15
18.03.26.;13:00;34;1,15
18.03.26.;12:00;34;1,15
18.03.26.;11:00;33;1,09
18.03.26.;10:00;31;0,97
18.03.26.;09:00;29;0,85
18.03.26.;08:00;28;0,79
18.03.26.;07:00;27;0,73
18.03.26.;06:00;27;0,73
18.03.26.;05:00;26;0,68
18.03.26.;04:00;25;0,62
18.03.26.;03:00;25;0,62
18.03.26.;02:00;25;0,62
18.03.26.;01:00;25;0,62
18.03.26.;00:00;25;0,62
