DATUM;VRIJEME;VODOSTAJ;PROTOK
25.03.2026;21:00;25,0;0,62
25.03.2026;20:00;26,0;0,68
25.03.2026;19:00;26,0;0,68
25.03.2026;18:00;26,0;0,68
25.03.2026;17:00;26,0;0,68
25.03.2026;16:00;26,0;0,68
25.03.2026;15:00;25,0;0,62
25.03.2026;14:00;25,0;0,62
25.03.2026;13:00;25,0;0,62
25.03.2026;12:00;25,0;0,62
25.03.2026;11:00;24,0;0,57
25.03.2026;10:00;24,0;0,57
25.03.2026;09:00;24,0;0,57
25.03.2026;08:00;24,0;0,57
25.03.2026;07:00;24,0;0,57
25.03.2026;06:00;24,0;0,57
25.03.2026;05:00;24,0;0,57
25.03.2026;04:00;24,0;0,57
25.03.2026;03:00;24,0;0,57
25.03.2026;02:00;24,0;0,57
25.03.2026;01:00;24,0;0,57
25.03.2026;00:00;24,0;0,57
24.03.2026;23:00;25,0;0,62
24.03.2026;22:00;25,0;0,62
24.03.2026;21:00;25,0;0,62
24.03.2026;20:00;25,0;0,62
24.03.2026;19:00;26,0;0,68
24.03.2026;18:00;26,0;0,68
24.03.2026;17:00;26,0;0,68
24.03.2026;16:00;26,0;0,68
24.03.2026;15:00;26,0;0,68
24.03.2026;14:00;26,0;0,68
24.03.2026;13:00;26,0;0,68
24.03.2026;12:00;25,0;0,62
24.03.2026;11:00;25,0;0,62
24.03.2026;10:00;24,0;0,57
24.03.2026;09:00;24,0;0,57
24.03.2026;08:00;24,0;0,57
24.03.2026;07:00;24,0;0,57
24.03.2026;06:00;24,0;0,57
24.03.2026;05:00;24,0;0,57
24.03.2026;04:00;24,0;0,57
24.03.2026;03:00;24,0;0,57
24.03.2026;02:00;24,0;0,57
24.03.2026;01:00;25,0;0,62
24.03.2026;00:00;25,0;0,62
23.03.2026;23:00;25,0;0,62
23.03.2026;22:00;25,0;0,62
23.03.2026;21:00;25,0;0,62
23.03.2026;20:00;26,0;0,68
23.03.2026;19:00;26,0;0,68
23.03.2026;18:00;26,0;0,68
23.03.2026;17:00;26,0;0,68
23.03.2026;16:00;26,0;0,68
23.03.2026;15:00;25,0;0,62
23.03.2026;14:00;26,0;0,68
23.03.2026;13:00;26,0;0,68
23.03.2026;12:00;25,0;0,62
23.03.2026;11:00;25,0;0,62
23.03.2026;10:00;25,0;0,62
23.03.2026;09:00;25,0;0,62
23.03.2026;08:00;24,0;0,57
23.03.2026;07:00;24,0;0,57
23.03.2026;06:00;25,0;0,62
23.03.2026;05:00;25,0;0,62
23.03.2026;04:00;25,0;0,62
23.03.2026;03:00;25,0;0,62
23.03.2026;02:00;25,0;0,62
23.03.2026;01:00;25,0;0,62
23.03.2026;00:00;25,0;0,62
22.03.2026;23:00;25,0;0,62
22.03.2026;22:00;26,0;0,68
22.03.2026;21:00;26,0;0,68
22.03.2026;20:00;26,0;0,68
22.03.2026;19:00;26,0;0,68
22.03.2026;18:00;26,0;0,68
22.03.2026;17:00;26,0;0,68
22.03.2026;16:00;26,0;0,68
22.03.2026;15:00;26,0;0,68
22.03.2026;14:00;26,0;0,68
22.03.2026;13:00;26,0;0,68
22.03.2026;12:00;26,0;0,68
22.03.2026;11:00;25,0;0,62
22.03.2026;10:00;25,0;0,62
22.03.2026;09:00;25,0;0,62
22.03.2026;08:00;25,0;0,62
22.03.2026;07:00;25,0;0,62
22.03.2026;06:00;25,0;0,62
22.03.2026;05:00;26,0;0,68
22.03.2026;04:00;25,0;0,62
22.03.2026;03:00;25,0;0,62
22.03.2026;02:00;26,0;0,68
22.03.2026;01:00;26,0;0,68
22.03.2026;00:00;26,0;0,68
21.03.2026;23:00;26,0;0,68
21.03.2026;22:00;26,0;0,68
21.03.2026;21:00;27,0;0,73
21.03.2026;20:00;27,0;0,73
21.03.2026;19:00;27,0;0,73
21.03.2026;18:00;27,0;0,73
21.03.2026;17:00;27,0;0,73
21.03.2026;16:00;27,0;0,73
21.03.2026;15:00;27,0;0,73
21.03.2026;14:00;27,0;0,73
21.03.2026;13:00;27,0;0,73
21.03.2026;12:00;28,0;0,79
21.03.2026;11:00;27,0;0,73
21.03.2026;10:00;26,0;0,68
21.03.2026;09:00;26,0;0,68
21.03.2026;08:00;26,0;0,68
21.03.2026;07:00;26,0;0,68
21.03.2026;06:00;26,0;0,68
21.03.2026;05:00;26,0;0,68
21.03.2026;04:00;26,0;0,68
21.03.2026;03:00;26,0;0,68
